iter	Passed	Remaining
568	9325	7063
569	9340	7046
570	9356	7029
571	9372	7012
572	9388	6996
573	9405	6980
574	9421	6964
575	9437	6947
576	9453	6930
577	9469	6913
578	9484	6896
579	9500	6879
580	9515	6862
581	9530	6845
582	9545	6827
583	9562	6811
584	9578	6794
585	9595	6779
586	9612	6763
587	9628	6746
588	9644	6729
589	9659	6712
590	9674	6695
591	9692	6679
592	9707	6662
593	9723	6646
594	9738	6628
595	9754	6612
596	9770	6595
597	9786	6578
598	9803	6562
599	9818	6545
600	9834	6528
601	9849	6511
602	9865	6495
603	9881	6478
604	9897	6461
605	9912	6445
606	9926	6427
607	9942	6410
608	9957	6392
609	9974	6377
610	9990	6360
611	10008	6345
612	10024	6328
613	10040	6312
614	10056	6295
615	10071	6278
616	10087	6261
617	10104	6245
618	10117	6227
619	10132	6210
620	10148	6193
621	10163	6176
622	10176	6158
623	10192	6141
624	10207	6124
625	10223	6107
626	10238	6091
627	10254	6074
628	10270	6057
629	10285	6040
630	10300	6023
631	10316	6006
632	10332	5990
633	10348	5974
634	10363	5957
635	10378	5939
636	10393	5923
637	10409	5906
638	10424	5889
639	10440	5872
640	10455	5855
641	10471	5839
642	10486	5822
643	10502	5805
644	10517	5788
645	10532	5771
646	10547	5754
647	10563	5738
648	10580	5722
649	10596	5705
650	10610	5688
651	10626	5671
652	10640	5654
653	10656	5637
654	10671	5620
655	10688	5604
656	10703	5587
657	10718	5571
658	10733	5553
659	10748	5537
660	10763	5520
661	10780	5504
662	10798	5488
663	10815	5472
664	10835	5458
665	10852	5442
666	10873	5428
667	10891	5413
668	10913	5399
669	10939	5388
670	10956	5372
671	10975	5357
672	10993	5341
673	11013	5326
674	11031	5311
675	11051	5296
676	11068	5281
677	11090	5267
678	11108	5251
679	11128	5236
680	11144	5220
681	11163	5205
682	11182	5190
683	11208	5178
684	11226	5162
685	11247	5148
686	11264	5132
687	11285	5117
688	11302	5101
689	11324	5087
690	11342	5072
691	11360	5056
692	11380	5041
693	11401	5026
694	11418	5011
695	11440	4997
696	11457	4980
697	11479	4966
698	11497	4951
699	11518	4936
700	11535	4920
701	11557	4906
702	11573	4889
703	11588	4872
704	11603	4855
705	11618	4838
706	11633	4821
707	11649	4804
708	11665	4787
709	11681	4771
710	11695	4754
711	11710	4736
712	11726	4720
713	11740	4702
714	11756	4686
715	11771	4669
716	11786	4652
717	11801	4635
718	11816	4618
719	11831	4601
720	11846	4583
721	11860	4566
722	11880	4551
723	11896	4535
724	11911	4518
725	11926	4501
726	11942	4484
727	11957	4467
728	11972	4450
729	11987	4433
730	12001	4416
731	12016	4399
732	12031	4382
733	12046	4365
734	12061	4348
735	12077	4332
736	12093	4315
737	12108	4298
738	12124	4281
739	12138	4264
740	12153	4247
741	12168	4231
742	12183	4214
743	12199	4197
744	12214	4180
745	12229	4163
746	12244	4147
747	12259	4130
748	12273	4113
749	12288	4096
750	12303	4079
751	12318	4062
752	12333	4045
753	12347	4028
754	12362	4011
755	12378	3995
756	12394	3978
757	12411	3962
758	12426	3945
759	12442	3929
760	12457	3912
761	12472	3895
762	12487	3878
763	12501	3861
764	12516	3844
765	12531	3828
766	12546	3811
767	12560	3794
768	12576	3777
769	12591	3761
770	12605	3744
771	12621	3727
772	12637	3711
773	12652	3694
774	12668	3677
775	12683	3661
776	12698	3644
777	12713	3627
778	12729	3611
779	12744	3594
